feature,importance
role_data scientist,0.5267071505004632
role_data engineer,0.13207517356698423
machine learning,0.049419383312746826
r,0.03790085541097949
role_business analyst,0.037227554998933605
python,0.03198644132879942
role_junior data analyst,0.024836695095036495
communication,0.022619756952856396
role_data analyst,0.015524065824745824
excel,0.014451782728289063
sql,0.014101062953933027
etl,0.013012613278328557
statistics,0.012824136195093826
java,0.011560074276551905
nlp,0.009745532063369625
agile,0.009262462503583733
power bi,0.007164624640780997
tableau,0.006713729023951696
a/b testing,0.005681603008873791
data visualization,0.005082914587642876
azure,0.00333238007874175
looker,0.0026492476509431683
aws,0.0017976695827618204
scrum,0.0013565023477717596
scala,0.0008953481540733091
snowflake,0.0005773247138927768
deep learning,0.0005546118368463355
stakeholder management,0.0003307695547008962
scikit-learn,0.0002461205016063094
numpy,0.00023439201013272573
pandas,5.784781776034666e-05
spark,3.1053986208065755e-05
kafka,2.5591653314610858e-05
airflow,1.3527859301503779e-05
hadoop,0.0
google cloud,0.0
qlik,0.0
