search_keyword,title,company,location,salary_min,salary_max,category,created,description,redirect_url,combined_text,extracted_skills
data analyst,Contract and Data Analyst (Managed Care),Lancesoft INC,"Tulsa, Tulsa County",68390.0,98585.0,Accounting & Finance Jobs,2026-07-28 16:10:37+00:00,"Job Description Job Description Job Title: Contract and Data Analyst (Managed Care) Location: Tulsa, OK Schedule: Monday–Friday | 8:00 AM – 5:00 PM Pay Range: $68,390 – $98,585 annually Job Summary: The Contract and Data Analyst supports managed care operations by analyzing payer contracts, monitoring reimbursement performance, and developing financial models to support contract negotiations and system revenue optimization. Key Responsibilities: Analyze managed care contracts and assess operati…",https://www.adzuna.com/land/ad/5818759277?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=4AAA93A38D4E708582B6B439B6D2B87B5A7DB530,"Contract and Data Analyst (Managed Care) Job Description Job Description Job Title: Contract and Data Analyst (Managed Care) Location: Tulsa, OK Schedule: Monday–Friday | 8:00 AM – 5:00 PM Pay Range: $68,390 – $98,585 annually Job Summary: The Contract and Data Analyst supports managed care operations by analyzing payer contracts, monitoring reimbursement performance, and developing financial models to support contract negotiations and system revenue optimization. Key Responsibilities: Analyze managed care contracts and assess operati… Accounting & Finance Jobs",[]
data analyst,"Specialist, Software Engineer - Data Analyst TS/SCI",L3Harris Technologies,"Orchid, Indian River County",110599.02,110599.02,IT Jobs,2026-08-10 00:26:06+00:00,"We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,…",https://www.adzuna.com/land/ad/5835259448?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=0D316608495A01F52FC8302CF9219416B2821E36,"Specialist, Software Engineer - Data Analyst TS/SCI We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,… IT Jobs",[]
data analyst,"Specialist, Software Engineer - Data Analyst TS/SCI",L3Harris Technologies,"Rockledge, Brevard County",123451.92,123451.92,IT Jobs,2026-08-10 00:26:06+00:00,"We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,…",https://www.adzuna.com/land/ad/5835259462?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=7876B14170A699E94BE7CFC1507A01AED49B4C41,"Specialist, Software Engineer - Data Analyst TS/SCI We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,… IT Jobs",[]
data analyst,"Specialist, Software Engineer - Data Analyst TS/SCI",L3Harris Technologies,"Melbourne, Brevard County",122345.62,122345.62,IT Jobs,2026-08-10 00:26:03+00:00,"We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,…",https://www.adzuna.com/land/ad/5835259412?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=6F590E3BE742C23210F0B067F9F12C52B53E6355,"Specialist, Software Engineer - Data Analyst TS/SCI We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,… IT Jobs",[]
data analyst,"Specialist, Software Engineer - Data Analyst TS/SCI",L3Harris Technologies,"Cocoa Beach, Brevard County",127450.3,127450.3,IT Jobs,2026-08-10 00:26:06+00:00,"We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,…",https://www.adzuna.com/land/ad/5835259458?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=8D2807352CDEF62B5EE90D09A538554EC2DB2D93,"Specialist, Software Engineer - Data Analyst TS/SCI We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,… IT Jobs",[]
data analyst,"Specialist, Software Engineer - Data Analyst TS/SCI",L3Harris Technologies,"Roseland, Indian River County",108213.12,108213.12,IT Jobs,2026-08-10 00:26:06+00:00,"We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,…",https://www.adzuna.com/land/ad/5835259461?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=035E676B93847BA4230A356B42ACC7AC95E036B1,"Specialist, Software Engineer - Data Analyst TS/SCI We are seeking a highly skilled and motivated Software Engineer/Data Analyst to join our team. The ideal candidate will hold an active TS/SCI clearance. Periodic commute to Patrick Space Force Base may be required. The successful candidate will be responsible for modernizing and migrating analytics applications into a high-performance web application using modern web technologies. Essential Functions: Design, develop, test, and maintain full stack applications, including user-facing interfaces,… IT Jobs",[]
data analyst,Data Analyst,MANTECH,"Tampa, Hillsborough County",82150.41,82150.41,IT Jobs,2026-08-01 06:42:49+00:00,"hackajob is collaborating with MANTECH to connect them with exceptional professionals for this role. MANTECH seeks a motivated, career and customer-oriented Data Analyst to join our team in Tampa, FL . The Data Analyst will leverage their strong technical background and knowledge to manipulate and analyze data in accordance with data management policies to support mission and business functions and tasks. Responsibilities include but are not limited to: Identifying new sources of data and metho…",https://www.adzuna.com/land/ad/5823867997?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=757201D9115334E84AAE7E3A8E06E978454B5FE9,"Data Analyst hackajob is collaborating with MANTECH to connect them with exceptional professionals for this role. MANTECH seeks a motivated, career and customer-oriented Data Analyst to join our team in Tampa, FL . The Data Analyst will leverage their strong technical background and knowledge to manipulate and analyze data in accordance with data management policies to support mission and business functions and tasks. Responsibilities include but are not limited to: Identifying new sources of data and metho… IT Jobs",[]
data analyst,Data Analyst,Guidehouse,"Fairview Heights, Saint Clair County",127472.78,127472.78,Accounting & Finance Jobs,2026-08-11 06:19:07+00:00,"Job Description Job Family: Data Engineering & Architecture Consulting\n Travel Required: Up to 10%\n Clearance Required: Active Secret\n \n \n What You Will Do: \n \n \n Provide data analysis, management, and reporting support for enterprise systems and mission-critical programs. \n \n Design, develop, and maintain data models, dashboards, and analytical solutions to support business and operational needs. \n \n Analyze large and complex datasets to identify trends, anomalies, and actionable i…",https://www.adzuna.com/land/ad/5836572927?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=BEC2F4AFE9BA3BF414ABCC0DD35DE33555AE5F55,"Data Analyst Job Description Job Family: Data Engineering & Architecture Consulting\n Travel Required: Up to 10%\n Clearance Required: Active Secret\n \n \n What You Will Do: \n \n \n Provide data analysis, management, and reporting support for enterprise systems and mission-critical programs. \n \n Design, develop, and maintain data models, dashboards, and analytical solutions to support business and operational needs. \n \n Analyze large and complex datasets to identify trends, anomalies, and actionable i… Accounting & Finance Jobs",[]
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",71369.29,71369.29,IT Jobs,2026-07-29 18:49:12+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Role Summary The Data Analyst, Specialist is responsible for leveraging data-driven insights to support strategic business decisions and improve operational efficiency. This role involves structuring complex business requests into well-defined analytical projects, extracting and analyzing large datasets from multiple sources and developing automated reporting solutions to enhance data accessibi…",https://www.adzuna.com/land/ad/5820379113?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=85428849AC6DB71F6EB78FFE8D0911847E0D3225,"Data Analyst, Specialist hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Role Summary The Data Analyst, Specialist is responsible for leveraging data-driven insights to support strategic business decisions and improve operational efficiency. This role involves structuring complex business requests into well-defined analytical projects, extracting and analyzing large datasets from multiple sources and developing automated reporting solutions to enhance data accessibi… IT Jobs",[]
data analyst,Financial Data Analyst,CAI,"Miramar, Broward County",77917.57,77917.57,IT Jobs,2026-07-16 04:37:25+00:00,"hackajob is collaborating with CAI to connect them with exceptional professionals for this role. Financial Data Analyst Req number: R6473 Employment type: Full time Worksite flexibility: Onsite Who we are CAI is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and…",https://www.adzuna.com/land/ad/5802478131?se=9jUAeRyW8RG5VMLygbg_Tg&utm_medium=api&utm_source=e45342b0&v=2BBDE377DAAD5EE4376E54A24A7D6A6BCCA0A7C3,"Financial Data Analyst hackajob is collaborating with CAI to connect them with exceptional professionals for this role. Financial Data Analyst Req number: R6473 Employment type: Full time Worksite flexibility: Onsite Who we are CAI is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and… IT Jobs",[]
