search_keyword,title,company,location,salary_min,salary_max,category,created,description,redirect_url
data analyst,Data Analyst,Ignite Digital,"Chesapeake, Chesapeake City",73813.59,73813.59,IT Jobs,2026-07-31T15:28:57Z,"Ignite Digital enables national security agencies to accelerate decisions, elevate operational outcomes and achieve the outsized performance only an inside partner can deliver. We combine mission experience, domain knowledge and technology expertise with the things partners can only know by being there every day. When agencies need a combination of tech and touch, Ignite Digital creates outcome-driving partnerships and stands with agencies to accomplish mission objectives. Ignite Digital accele…",https://www.adzuna.com/land/ad/5822624031?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=3CFF1A2A91FBF3B63B6B3005B98661D90DCE5BC6
data analyst,Data Analyst,Mass General Brigham,"Boston, Suffolk County",57621.16,57621.16,Healthcare & Nursing Jobs,2026-07-31T14:52:00Z,"Site: The General Hospital Corporation Mass General Brigham relies on a wide range of professionals, including doctors, nurses, business people, tech experts, researchers, and systems analysts to advance our mission. As a not-for-profit, we support patient care, research, teaching, and community service, striving to provide exceptional care. We believe that high-performing teams drive groundbreaking medical discoveries and invite all applicants to join us and experience what it means to be part…",https://www.adzuna.com/land/ad/5822602864?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=3685D2421487AB7E6E24C967F2B84A55A5E9060C
data analyst,Data Analyst,Solstice Advanced Materials,"Morris Plains, Morris County",64502.31,64502.31,Consultancy Jobs,2026-07-30T18:17:16Z,"This is an exciting opportunity for someone with strong data skills and a passion for sustainability to help map regulatory obligations, analyze packaging and sales data, and support reporting that drives compliance and environmental improvement across our business. You will collaborate with internal teams and external consultants to ensure accurate data collection, reporting, and insight generation. Solstice Advanced Materials is looking for a Data Analyst to support our Extended Producer Resp…",https://www.adzuna.com/land/ad/5821656277?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=D27CF45E3F739A1092CACD53FCDC0C7BCADE5A32
data analyst,Data Analyst,Jewish Vocational Service ,"South San Francisco, San Mateo County",70424.76,70424.76,IT Jobs,2026-07-30T07:34:52Z,"Why Join JVS? JVS is a nonprofit working to close opportunity gaps in employment by supporting jobseekers with the skills and confidence to secure quality careers with family-sustaining wages. Grounded in core values of repairing the world and focused on helping our program participants achieve economic mobility, we believe everyone deserves access to training and the chance for a good job. JVS develops training programs in close partnership with employers in high growth sectors, offering high …",https://www.adzuna.com/land/ad/5821084183?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=8587E226A6C792A84A54C7ADE6996DC83DECA7A6
data analyst,Data Analyst,Adelphi Group,"Salt Lake City, Salt Lake County",82235.92,82235.92,"PR, Advertising & Marketing Jobs",2026-07-30T17:48:42Z,"Agency: Omnicom Precision Marketing Job Function: Data and Analytics Job Subfunction: Data Science and Analytics Job Description: MRM is part of the Omnicom Precision Marketing activation practice. This practice integrates CRM platform expertise, journey management, and first-party data capabilities with creative excellence and performance capabilities, enabling Omnicom to deliver intelligent activation across the full funnel with data-driven decisioning at scale to help clients move faster and…",https://www.adzuna.com/land/ad/5821582879?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=216D8DF7FECA5B0320F540E4CB9ED653CB8A8CA3
data analyst,Data Analyst II,Children's Hospital of Philadelphia,"Philadelphia, Philadelphia County",106467.18,106467.18,IT Jobs,2026-07-31T15:25:29Z,"SHIFT: Day (United States of America) Seeking Breakthrough Makers Children’s Hospital of Philadelphia (CHOP) offers countless ways to change lives. Our diverse community of more than 20,000 Breakthrough Makers will inspire you to pursue passions, develop expertise, and drive innovation. At CHOP, your experience is valued; your voice is heard; and your contributions make a difference for patients and families. Join us as we build on our promise to advance pediatric care—and your career. CHOP doe…",https://www.adzuna.com/land/ad/5822618520?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=CCA9214CB4FEC1DD6EAFC9EAC7D9D7B2CCE0292E
data analyst,Data Analyst IV,TX-HHSC-DSHS-DFPS,"Austin, Travis County",93025.42,93025.42,IT Jobs,2026-07-30T17:55:32Z,"Join the Texas Health and Human Services Commission (HHSC) and be part of a team committed to creating a positive impact in the lives of fellow Texans. At HHSC, your contributions matter, and we support you at each stage of your life and work journey. Our comprehensive benefits package includes 100% paid employee health insurance for full-time eligible employees, a defined benefit pension plan, generous time off benefits, numerous opportunities for career advancement and more. Explore more deta…",https://www.adzuna.com/land/ad/5821616744?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=6F6D9B518F08E097DE5966A62685E486DC5A0453
data analyst,Data Analyst II,TX-HHSC-DSHS-DFPS,"Rusk, Cherokee County",55676.41,55676.41,Healthcare & Nursing Jobs,2026-07-30T07:24:11Z,"Join the Texas Health and Human Services Commission (HHSC) and be part of a team committed to creating a positive impact in the lives of fellow Texans. At HHSC, your contributions matter, and we support you at each stage of your life and work journey. Our comprehensive benefits package includes 100% paid employee health insurance for full-time eligible employees, a defined benefit pension plan, generous time off benefits, numerous opportunities for career advancement and more. Explore more deta…",https://www.adzuna.com/land/ad/5821073617?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=D91B4556DBE30D33B0A2C28F3F9216781C84A1FB
data analyst,Market Data Analyst,Schonfeld,"Ny State Campus, Albany County",131146.72,131146.72,Accounting & Finance Jobs,2026-07-30T17:41:00Z,"About the Role Schonfeld's Enterprise Data team is looking for a Market Data Analyst to manage the sourcing, licensing, and entitlements of market data across global vendors, exchanges, and brokers. You'll support Schonfeld’s quantitative, fundamental, tactical, and macro portfolio managers in managing access to datasets across multiple asset classes and regions. What You’ll Do Oversee day to day user entitlements, usage tracking, and compliance with vendor agreements and exchange rules Manage …",https://www.adzuna.com/land/ad/5821527738?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=9827E2E9A4C4B2A7264B7336F7954FC09E623561
data analyst,GTM Data Analyst,Global Payments Inc.,"Columbus, Muscogee County",50567.73,50567.73,IT Jobs,2026-07-30T17:46:12Z,"Every day, Global Payments makes it possible for millions of people to move money between buyers and sellers using our payments solutions for credit, debit, prepaid and merchant services. Our worldwide team helps over 3 million companies, more than 1,300 financial institutions and over 600 million cardholders grow with confidence and achieve amazing results. We are driven by our passion for success and we are proud to deliver best-in-class payment technology and software solutions. Join our dyn…",https://www.adzuna.com/land/ad/5821566218?se=YCf9-B-N8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e45342b0&v=C7E56B2439EBA59D8CF12533F1885B406F66DF76
