search_keyword,title,company,location,salary_min,salary_max,category,created,description,redirect_url
data analyst,Data Analyst,CAI,"Indianapolis, Marion County",96922.65,96922.65,IT Jobs,2026-07-22 15:18:12+00:00,"hackajob is collaborating with CAI to connect them with exceptional professionals for this role. Data Analyst Req number: R8144 Employment type: Full time Worksite flexibility: Hybrid Who we are CAI is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and focus to …",https://www.adzuna.com/land/ad/5811125008?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=196ECE7BC43000767BDD93B4B8C5AA0F0F51E23A
data analyst,Data Analyst,MANTECH,"Doral, Miami-Dade County",138896.86,138896.86,IT Jobs,2026-07-09 16:13:21+00:00,"hackajob is collaborating with MANTECH to connect them with exceptional professionals for this role. MANTECH seeks a motivated, career and customer-oriented Data Analyst to join our team in Doral, FL. Responsibilities include but are not limited to: Lead the development and implementation of data strategies and frameworks that drive decision-making and organizational learning across the enterprise. Maintain and enhance the accuracy and reliability of the CMDB by validating hardware models, corr…",https://www.adzuna.com/land/ad/5794461870?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=E4AE188AE4E0739D79E9EAB90FD68CD4779DD6DF
data analyst,Data Analyst,Solace,US,84412.97,84412.97,IT Jobs,2026-07-18 04:36:34+00:00,"hackajob is collaborating with Solace to connect them with exceptional professionals for this role. About Solace Healthcare in the U.S. is fundamentally broken. The system is so complex that 88% of U.S. adults do not have the health literacy necessary to navigate it without help. Solace cuts through the red tape of healthcare by pairing patients with expert advocates and giving them the tools to make better decisions—and get better outcomes. We're a Series C startup, founded in 2022 and backed …",https://www.adzuna.com/land/ad/5805946719?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=46A9F8D0FAA018E5FE46233B5B1A091FD0E238E0
data analyst,Sr Product Data Analyst,Hertz,"Estero, Lee County",95511.86,95511.86,"Energy, Oil & Gas Jobs",2026-07-22 03:43:16+00:00,"Job Description Job Description Description At Hertz, our senior product data analysts are responsible for developing and defining analytic best practices to generate informative research, reports, visualizations, and dashboards using internal and external data to provide actionable and strategic insights. Your main objective is to leverage advanced analytics and data mining techniques to deeply understand our product performance and generate insights to drive operational efficiency and effecti…",https://www.adzuna.com/land/ad/5810498712?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=D04C88AFE5CF7F4C10237861589E1291891E4EB8
data analyst,Data Analyst,HackerEarth,US,76501.51,76501.51,IT Jobs,2026-07-17 12:17:34+00:00,"About the Role We are looking for a Data Analyst with strong Python skills and exposure to Generative AI tools to help analyze data, automate workflows, and generate insights for business teams. The ideal candidate should be comfortable working with large datasets, building data pipelines, and leveraging GenAI tools and APIs to enhance data analysis and reporting . Key Responsibilities Analyze large datasets using Python (Pandas, NumPy) to identify trends and insights. Write and optimize SQL qu…",https://www.adzuna.com/land/ad/5805043176?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=5CB712D77C696B50FDA3AC20B12080F8DE0C901F
data analyst,Data Analyst,Eliassen Group,"Jacks Cabin, Gunnison County",89632.9,89632.9,IT Jobs,2026-07-14 19:43:32+00:00,"Description: Remote Our client is seeking a highly skilled and intellectually curious Data Analyst. As the Data Analyst you will play a critical part in architecting and delivering data models, pipelines, and reporting that supports month-end close, enhances accounting workflows, and drives ongoing improvements in data quality, reliability, and efficiency. Due to client requirements, applicants must be willing and able to work on a w2 basis. For our w2 consultants, we offer a great benefits pac…",https://www.adzuna.com/land/ad/5800473938?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=43D682B20A363B2111956FA68F8633A9EB8F335C
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",71369.29,71369.29,IT Jobs,2026-07-06 11:32:56+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Role Summary The Data Analyst, Specialist is responsible for leveraging data-driven insights to support strategic business decisions and improve operational efficiency. This role involves structuring complex business requests into well-defined analytical projects, extracting and analyzing large datasets from multiple sources and developing automated reporting solutions to enhance data accessibi…",https://www.adzuna.com/land/ad/5789984891?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=44664F04923D36AA0189F3F1FDC93C008869CDC7
data analyst,Financial Data Analyst,CAI,"Miramar, Broward County",77917.57,77917.57,IT Jobs,2026-07-16 04:37:25+00:00,"hackajob is collaborating with CAI to connect them with exceptional professionals for this role. Financial Data Analyst Req number: R6473 Employment type: Full time Worksite flexibility: Onsite Who we are CAI is a global services firm with over 9,000 associates worldwide and a yearly revenue of $1.3 billion. We have over 40 years of excellence in uniting talent and technology to power the possible for our clients, colleagues, and communities. As a privately held company, we have the freedom and…",https://www.adzuna.com/land/ad/5802478131?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=2BBDE377DAAD5EE4376E54A24A7D6A6BCCA0A7C3
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",83889.32,83889.32,IT Jobs,2026-07-06 11:33:04+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Personal Investor (PI) Distribution is responsible for converting Vanguard’s Personal Investor strategy into growth outcomes by acquiring clients, deepening relationships, and retaining and growing assets. As part of the PI Distribution Analytics team, you will provide actionable insights and scalable analytics that enable Personal Investor Distribution to drive growth, improve client experienc…",https://www.adzuna.com/land/ad/5789985328?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=BCEF858D53F4B5CC933D7464E2F2152D908DC715
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",66319.52,66319.52,IT Jobs,2026-07-06 11:33:00+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. We are seeking a data visualization expert with a passion for transforming complex data into clear, actionable insights for senior leadersh…",https://www.adzuna.com/land/ad/5789985137?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=9122A0156EEF80071D1A75DA47E9B8D42AB33729
data analyst,Senior Data Analyst,Vanguard,"Frazer, Chester County",104712.25,104712.25,IT Jobs,2026-07-16 04:37:25+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. This analyst will partner closely with business leaders to support Workplace Solutions client retention and service recovery efforts by analyzing client behavior, identifying risk signals, and uncovering drivers of attrition. The role focuses on translating complex data into actionable insights, monitoring client sentiment and service issues, and helping prioritize interventions that improve cl…",https://www.adzuna.com/land/ad/5802478133?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=8B554F2581738E301354422BC992368495C78BED
data analyst,"Data Analyst, Specialist",Vanguard,"Charlotte, Clinton County",70474.47,70474.47,IT Jobs,2026-07-06 11:32:56+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. Role Summary The Data Analyst, Senior Specialist is responsible in driving data-driven decision-making across the organization by leading c…",https://www.adzuna.com/land/ad/5789984892?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=F00C749400547BA7B153132208261F6A6C52511A
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",74856.74,74856.74,"Energy, Oil & Gas Jobs",2026-07-15 04:41:56+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Lead Data Analyst is responsible for driving data-driven decision-making across the organization by leading complex analytical projects, optimizing data processes and delivering actionable insights. This role involves extracting, cleaning and analyzing large datasets to identify trends, measure performance to support strategic initiatives, and close engagement with internal partners. Respon…",https://www.adzuna.com/land/ad/5800926478?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=AD4D0CC8DBF62E3FE31EDACF1BD62074B997FF14
data analyst,"Data Analyst, AVP",Barclays,"Hanover Township, Morris County",152091.5,152091.5,Accounting & Finance Jobs,2026-07-06 11:33:08+00:00,"hackajob is collaborating with Barclays to connect them with exceptional professionals for this role. What will you be doing? Barclays Services Corp. seeks Data Analyst, AVP in Whippany, NJ (multiple positions available): Facilitate the delivery of high-quality data insights utilizing a range of business intelligence utilities and analytics capabilities to ensure comprehensive, timely and accurate operational oversight for operational teams, senior leadership, service buyers, audit activity and…",https://www.adzuna.com/land/ad/5789985522?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=0855B57339AFFA6D0F24373D22049E730398E4EA
data analyst,Senior Data Analyst,Transunion,"Chicago, Cook County",95487.0,95487.0,IT Jobs,2026-07-08 16:10:18+00:00,"hackajob is collaborating with TransUnion to connect them with exceptional professionals for this role. TransUnion's Job Applicant Privacy Notice Personal Information We Collect Your Privacy Choices Team Overview The Senior Data Analyst will report into a Senior Manager of Data Science & Analytics. As part of the Data Analytics Team, you will help with development of TransUnion’s IP Geolocation technology. This position requires a understanding IP network topology. You will be working with othe…",https://www.adzuna.com/land/ad/5792991589?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=464C44845C1B70EB471EDCE0CE77554B78DBDF9B
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",76658.02,76658.02,IT Jobs,2026-07-19 04:52:16+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. Analyzes data, assesses trends and develops actionable insights and recommendations in support of large strategic business initiatives. Actively develops the analytics community at Vanguard by coaching others internally and participating in external events. PW Growth Strategy Analytics is growing! We’re opening a new role to support some of the most important questions facing the Personal Wealt…",https://www.adzuna.com/land/ad/5806988189?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=482C6D99D5ABDB4DC7EAAD7486B617831E809077
data analyst,"Data Analyst, Specialist",Vanguard,"Frazer, Chester County",81335.77,81335.77,IT Jobs,2026-07-21 15:12:31+00:00,"hackajob is collaborating with Vanguard to connect them with exceptional professionals for this role. The Advice and Wealth Management (AWM) Analytics team is seeking an analyst to play an important role supporting the Personal Wealth Marketing team and enabling growth through data-driven strategy. Our work includes data preparation and transformation, discovery analysis, experimental design, campaign measurement, dashboard development, and strategic recommendations sourced from the data. The r…",https://www.adzuna.com/land/ad/5809620931?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=593027D0D281D96258C5CF9410D0179B9488CCB6
data analyst,Data Analyst,Na Oiwi Kane,"Mount Rainier, Prince George's County",148544.22,148544.22,IT Jobs,2026-07-23 21:24:28+00:00,"Overview Job Summary Galapagos Federal Systems LLC is looking for an enthusiastic, well-qualified individual to fill the Data Analyst position. This role offers the opportunity to work with a diverse and talented group of individuals committed to driving success. The ideal candidate is responsible for collecting, analyzing, and managing system and project data to support Tech Refresh operations, data-driven decision-making, and process improvement initiatives. The Data Analyst provides actionab…",https://www.adzuna.com/land/ad/5813141729?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=E73568B4D251D07DD28B4B0DC53EE801E51F7F70
data analyst,Data Analyst,"Judge Group, Inc.","Bridgeport, Montgomery County",107764.72,107764.72,IT Jobs,2026-06-24 22:42:09+00:00,"Location: Bridgeport, PA Salary: $70,000.00 USD Annually - $85,000.00 USD Annually Description: Data Analyst (Power BI/SQL) Location: Conshohocken, PA Salary: $70,000 - $85,000 Overview We are seeking a Data Analyst with 3-5 years of experience to support reporting, analytics, and data visualization initiatives. The ideal candidate will have strong expertise in Power BI and SQL, along with a solid foundation in data modeling and analytics best practices. Key Responsibilities Develop, maintain, …",https://www.adzuna.com/land/ad/5775687128?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=52DE47B215F783A25B0FC96FB344E0BBB6ADA5DF
data analyst,Data Analyst,Booz Allen Hamilton,"Mount Rainier, Prince George's County",99888.45,99888.45,IT Jobs,2026-06-08 18:36:48+00:00,"Job Number: R0241726 Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to complex defense acquisit…",https://www.adzuna.com/land/ad/5756663511?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=FF5F6F04E5FDCEB3FDBD60244D7EAC5EE601785E
data analyst,Data Analyst,Na Oiwi Kane,US,95673.22,95673.22,IT Jobs,2026-07-20 22:41:53+00:00,"Overview Job Summary Galapagos Federal Systems, LLC is seeking a motivated and detail-oriented Data Analyst to join our team at Patrick Space Force Base, Florida. This position offers an exciting opportunity to support the Space Training and Readiness Command (STARCOM) by providing data analysis, reporting, and visualizations to improve operational effectiveness, and support mission success. The Data Analyst will collect, analyze, and interpret data from multiple enterprise systems to develop w…",https://www.adzuna.com/land/ad/5808781969?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=DB8DB52935F67EEAF1C0A59C5C4A1AE9E6B6617A
data analyst,Data Analyst,Booz Allen Hamilton,"San Diego, San Diego County",108214.77,108214.77,IT Jobs,2026-07-02 19:13:20+00:00,"Job Number: R0243644 Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to the Navy. As a client-fa…",https://www.adzuna.com/land/ad/5786123800?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=D7EE4281E94C8C228BE42C4DF8AC68F747174386
data analyst,Data Analyst,Visionaire Partners,"Northlake, DeKalb County",94397.67,94397.67,IT Jobs,2026-06-26 18:47:31+00:00,"Data Analyst Exciting contract opportunity for someone who loves technology, and is highly motivated to be successful and grow their career as a Data Analyst within a top notch enterprise environment. RESPONSIBILITIES: Mine databases for the purpose of understanding data lineage in legacy systems. Understand the implications of integrating new data into production platforms. Write business requirements and business rules for managing and integrating data into commercial databases. Communicate e…",https://www.adzuna.com/land/ad/5778342048?se=Cv836q6H8RGrg5YQe_eAEA&utm_medium=api&utm_source=e45342b0&v=6213F1BB57F089BAB49CEE2F43997EE00D755529
